,num,url,title,play,view,author,pts
44,45,//www.bilibili.com/video/av80877109,papi酱不定期更新的抖音合集——12月,130.6万,2227,papi酱,914011
45,46,//www.bilibili.com/video/av80749227,LOL远古套路史诗增强：一个不用脑子的套路[有点骚东西],69.6万,1616,上海滩许Van强,896429
46,47,//www.bilibili.com/video/av81044863,被无数人嘲笑的奥力给，其实是他对抗命运的怒吼,77.0万,2278,老油条说,894447
47,48,//www.bilibili.com/video/av80982522,都是骗人的！打了5年终于有医生告诉我，打进去的玻尿酸不吸收，假货满天飞，你还敢打吗？,44.0万,5050,付曦冉,893869
48,49,//www.bilibili.com/video/av80737084,上官婉儿的私生活比武则天还混乱，死后连个全尸都没有,104.1万,2998,野拾叁,881624
49,50,//www.bilibili.com/video/av79332002,男 人 都 是 大 猪 蹄 子,163.7万,159,七月道士,877421
50,51,//www.bilibili.com/video/av80862156,【博君一肖】上头踩点！《全世界都在说博肖话》（填词自中国话）,20.2万,2441,碳水化合潘,872081
51,52,//www.bilibili.com/video/av80799860,【怪异君】泡芙喵怒扇怪异君耳光！恋情曝光！成都BW大闹酒店！,44.8万,6464,我是怪异君,867274
52,53,//www.bilibili.com/video/av80744282,调音师的准确率已达1000000000000000000000000000000000000000000000000000000000000000000000%,47.1万,2360,球球特别大,866827
53,54,//www.bilibili.com/video/av80193720,感冒,31.1万,1889,TheMrNICEGUY,862087
54,55,//www.bilibili.com/video/av81006360,把超市里所有水果买回做果汁！榴莲为什么不做成果汁？,152.7万,9573,敬汉卿,860801
55,56,//www.bilibili.com/video/av80380499,盗  梦  空  间,58.1万,521,天秀宝宝abc,849561
56,57,//www.bilibili.com/video/av80861146,挑战抖音颜值爆表的美女！看完这个视频你敢说你不会心动吗？！,98.1万,9.4万,阿银哦哦,849082
57,58,//www.bilibili.com/video/av80372406,【独家首发】音阙诗听/赵方婧《芒种》MV,58.7万,3216,音阙诗听,844244
58,59,//www.bilibili.com/video/av78793139,熬夜之后如何科学恢复,33.1万,183,YouTuber精选,843401
59,60,//www.bilibili.com/video/av80964216,【英文原创】初中生第一首英文原创歌曲December Composer | 献给十二月和美好的2019a,28.4万,1080,Vicky宣宣,835058
60,61,//www.bilibili.com/video/av80633468,全程高能衔接！看的爽就完事了,30.5万,1168,清茶冷酒,834353
61,62,//www.bilibili.com/video/av80669491,【古力娜扎＆朱丹】穷哈Baby,57.8万,1071,秋名山上的486,830643
62,63,//www.bilibili.com/video/av80266735,【散人】逍遥铁板 在线除三（5.智斗真爱型小三）,26.5万,1.9万,逍遥散人,827672
63,64,//www.bilibili.com/video/av80248420,“世上哪有什么轻功”说完道长转身就【下山】了  【道教混剪】记得三连谢谢！！！,60.2万,856,回头无岸便向前,799591
64,65,//www.bilibili.com/video/av62162985,影   流   之   主,90.8万,1287,北极熊剩飯,798045
65,66,//www.bilibili.com/video/av80993361,南方人不懂为什么东北人喜欢黑黑的冻梨，吃了才知道原来这么美味,196.2万,6239,翔翔大作战,797141
66,67,//www.bilibili.com/video/av81033483,华农兄弟：昨晚有只竹鼠“托梦”给我，想吃竹笋，去挖个来炖它,119.6万,3.2万,华农兄弟,789138
67,68,//www.bilibili.com/video/av79893945,【收藏向】实 用 结 绳 技 巧,17.2万,203,废稿君,786943
68,69,//www.bilibili.com/video/av80836767,【苏司喵】Red Velvet红毛‘Psycho’全曲翻跳 疯婆娘,66.3万,590,苏司喵susiemeoww,772763
69,70,//www.bilibili.com/video/av78486370,这种课  应该没人睡觉吧,31.0万,1294,古铜丶,771104
70,71,//www.bilibili.com/video/av80941306,【钢琴】戴上耳机！前方高能！迪迦ost《人类之光•愛のテーマ》超还原交响演奏版,35.9万,905,up初相识,769482
71,72,//www.bilibili.com/video/av80856165,本想送个礼物，她以为我要求婚，直接哭了。哈哈蛤。。,77.1万,8393,托马斯家的,764727
72,73,//www.bilibili.com/video/av80891130,你的猫咪（原创曲）,23.0万,1461,hanser,762249
73,74,//www.bilibili.com/video/av79184553,b 站 热 度 年 度 总 结（禁止套娃）☆,33.2万,1675,高坂大芥末,753160
74,75,//www.bilibili.com/video/av80743917,【中国联通抖肩舞】虽迟但到！每天亿遍，防止抑郁！考试pass，年终double！,68.6万,1448,中国联通客服官方,753128
75,76,//www.bilibili.com/video/av80877647,狗拿东西打狗,54.9万,504,大霓奈,752312
76,77,//www.bilibili.com/video/av80794658,老婆的肚子上怎么可能有赘肉qwq,92.4万,254,风起风玘OvO,750355
77,78,//www.bilibili.com/video/av80721495,【亮剑版毒液】龙 液 （李云龙大战楚云飞！）,38.1万,1283,三木刃,747593
78,79,//www.bilibili.com/video/av80038899,简单高效学生党减肥运动|每天12分钟，48小时持续燃脂|亲测瘦了10多斤！（无跳动无器械，一周见效！）,9.8万,507,韩小四April,746315
79,80,//www.bilibili.com/video/av81057843,【火影人物志55】站在顶点的男人！宇智波斑 当BOSS就是要坚持到底,42.4万,4513,四季萌芽,745516
80,81,//www.bilibili.com/video/av80877220,史上最骚魔鬼套路“女神烧香”教你如何融化对手。,56.8万,4068,守护茶茶,743298
81,82,//www.bilibili.com/video/av80933221,【评分1.9】这绝对是b站有史以来买过最亏的动画！山寨+抄袭，UP主看完当场暴毙...,56.8万,6919,一块电鹿板,723313
82,83,//www.bilibili.com/video/av77688298,观看一分钟，兴奋一整天！,29.7万,799,二代二代,718666
83,84,//www.bilibili.com/video/av78441309,【猛男舞团】新宝岛remix 宴 请 八 方【BML2019广州单品】,47.1万,2275,BML制作指挥部,718249
84,85,//www.bilibili.com/video/av80464556,耗时一年！只要15s，可爱(｡･ω･｡)ﾉ♡死你————指拖稿1年(;¬_¬),22.4万,411,Baka恶魔,715375
85,86,//www.bilibili.com/video/av80937604,再探镇上自助餐，大sao一个人吃五锅，服务员都嫌弃了，吃得真香,135.0万,1.2万,徐大sao,710916
86,87,//www.bilibili.com/video/av80946487,【不明生物】瘦长鬼影清晰照片被人曝光！,53.4万,5629,蓝星人-ET,708022
