,num,url,title,play,view,author,pts
49,50,//www.bilibili.com/video/av68410615,【Netflix】我们的星球 1080P珍藏版 Our Planet (2019),3766,102,喜欢喵喵叫的小猫咪,12548
50,51,//www.bilibili.com/video/av30595961,【高清720P中字】国家地理频道 - 人体内旅行,2974,122,TTSnakes,12162
51,52,//www.bilibili.com/video/av39285399,日本女特务嘴硬，戴笠用了“玉女登梯”后，女特务立马就招了,1.3万,3,文史年轮,11991
52,53,//www.bilibili.com/video/av40842249,【央视1080P】《资本的力量》5集系列纪录片,4163,0,V5阿喵,11890
53,54,//www.bilibili.com/video/av41565134,他们是白种人却穿着“中国军装”，常年驻守边疆，讨厌被人叫老外,1.1万,11,原创学习,11721
54,55,//www.bilibili.com/video/av45285711,《航拍中国》第2季 第1集 浙江,1.2万,141,央视纪录,11139
55,56,//www.bilibili.com/video/av49990040,【选一张牌】你的未来伴侣的特征？ta是个怎样的人？ | 塔罗牌神谕卡占卜,8855,468,月の塔罗师Mina,11067
56,57,//www.bilibili.com/video/av64628994,请保护好自己,9616,94,老艺术家闹闹,10639
57,58,//www.bilibili.com/video/av13814927,【央视纪录片】《华尔街》(2010)【720P 10集全】,3619,49,纪录搬运,10628
58,59,//www.bilibili.com/video/av45917441,传说在挖人参时人参会跑，但并非所见，这回让你开开眼！,1.1万,0,星鸿小清新,10582
59,60,//www.bilibili.com/video/av63066600,泰国午夜的曼谷街道（无滤镜实拍）,1.1万,12,旅游纪实录,10581
60,61,//www.bilibili.com/video/av22932677,【自译】同志家庭的小孩在想什么,3720,26,苋菜子☆,10300
61,62,//www.bilibili.com/video/av58651752,人肤蝇幼虫寄生人体全过程,9673,15,橙子的暑假,10250
62,63,//www.bilibili.com/video/av25704832,【纪录片】彩色二战纪录 13集全【国语】,8065,172,吸血鬼的牙齿,10165
63,64,//www.bilibili.com/video/av20363064,【纪录片 / 犯罪】当代福尔摩斯-科学神探：李昌钰博士之蛛丝马迹 【2004】【美国】,4699,109,缺氧幼稚鬼,10097
64,65,//www.bilibili.com/video/av78249147,【日本vlog】带你体验胶囊旅馆，太空舱既视感！超大碗的海胆盖饭超满足！刺猬咖啡馆｜筑地市场｜六本木,6934,177,铛儿妹,10014
65,66,//www.bilibili.com/video/av62584826,9头牛拉不回的混世打手，却被4岁女儿13个字召回：卖炸鸡更实在,8643,12,牛事,9906
66,67,//www.bilibili.com/video/av76230818,一分钟认识社会主义,7408,16,就叫帅旭吧,9833
67,68,//www.bilibili.com/video/av78197500,Nova-解码达芬奇 [双语字幕].[重生字幕组].1080P.PBS,2472,13,重生字幕组,9559
68,69,//www.bilibili.com/video/av55882586,【动物】地球上最大的狼——加拿大灰狼,9252,12,油管杂货铺,9551
69,70,//www.bilibili.com/video/av54109464,【节操巷字幕组】孙兴慜纪录片：Sonsational 中字合集更新至E06 190705 (全6集),5102,127,热刺节操巷,9515
70,71,//www.bilibili.com/video/av55107320,聪明的小姑娘和爸爸假装玩水滑道，搞笑的一天刚刚开始！,1.0万,0,爆品车族,9153
71,72,//www.bilibili.com/video/av78159276,《不被遗失的纹路》木版年画篇,7656,38,小米公司,9017
72,73,//www.bilibili.com/video/av62213500,《航拍中国》第一季   （（CCTV 4K 超高清频道））,4293,102,Airbus空客A380,8975
73,74,//www.bilibili.com/video/av55675765,把家猪和野猪放在一起，会发生什么，镜头记下惨烈一幕,9725,2,爱吃喵咪的鱼儿,8932
74,75,//www.bilibili.com/video/av78235181,【中英字幕】崔娃Trevor Noah PBS 纪录片：扬名立万 Breaking Big (2018),2895,43,胭脂泪叹,8795
75,76,//www.bilibili.com/video/av12519811,温铁军：中国经济热点问题研究,5131,141,李德体,8641
76,77,//www.bilibili.com/video/av27561832,高考满分750，此人考了749分成为神话，他的现状如何呢？,8774,4,动物新纪元,8476
77,78,//www.bilibili.com/video/av22288152,老舍先生的录音，来听听最地道的北京话是什么样吧。,7229,7,王卓如同学,8375
78,79,//www.bilibili.com/video/av19258366,《资本的故事》1~3季 全60集 国语中字 720P,4168,56,猎手纪录片吧,8289
79,80,//www.bilibili.com/video/av23373230,【汶川十年】重温地震当天的央视《新闻联播》相关报道,8124,47,Simon_007,8215
80,81,//www.bilibili.com/video/av76974154,《史诗中国》第1集 古代中国人,4692,61,NathanRich火锅大王,8050
81,82,//www.bilibili.com/video/av64216526,中国通史CCTV 1-100高清合集,5183,48,赤鸟衔珪,7867
82,83,//www.bilibili.com/video/av46178929,秦始皇女儿嬴阴嫚之墓出土，场面令人揪心，不由感慨：胡亥真狠心,8535,3,品史鉴今,7781
83,84,//www.bilibili.com/video/av74741670,《生命·觉者》梁冬对话蔡志忠：一个人，活出自己是最重要的,2228,6,此念文化,7781
84,85,//www.bilibili.com/video/av51289815,川藏线上女游客举着“求RB”的牌子，到底是什么意思？你们懂吗？,8457,7,艾游世界,7671
85,86,//www.bilibili.com/video/av29423839,《长谈》：罗振宇对话罗永浩,3232,83,昆士兰研究所所长,7651
86,87,//www.bilibili.com/video/av37692428,驯鹿边走路边交配，同伴的小眼神羡慕嫉妒恨！,8095,1,萌宠传奇,7570
87,88,//www.bilibili.com/video/av44989930,曹德旺笑谈首富，一句话说出李嘉诚儿子血的教训，大佬不愧是大佬,7944,4,gcr12,7529
88,89,//www.bilibili.com/video/av78245556,【世间的温度】肩负重任士兵也有脆弱面，善意让奇怪请求合理化~ @神迹出品,7359,9,神迹字幕,7519
89,90,//www.bilibili.com/video/av25689245,中国最无奈的省份，除了省会全是五线城市，你知道是哪里吗？,8087,51,洋子望世界,7488
90,91,//www.bilibili.com/video/av46990802,【伦敦旅行短片】油管大神jr alli 神级转场,3314,3,大鷺様,7460
91,92,//www.bilibili.com/video/av18361788,有钱人的世界01 (自翻熟肉) （Tamara's World ）,5301,22,全毛毛,7404
92,93,//www.bilibili.com/video/av63722873,【4K大片】这，就是北欧！,2996,11,公路旅人FOX,7388
93,94,//www.bilibili.com/video/av78150773,太嚣张！退伍军人安置被顶替，冒充者：拿10万钱，把工作给你！,7845,3,人物纪短视频,7354
94,95,//www.bilibili.com/video/av77413326,这一次，以爱情之名，回归最纯粹的旅拍,387,226,时诺创意旅拍,7252
95,96,//www.bilibili.com/video/av46668064,老外将煤气罐扔进火山，接着撒腿就跑，火山变成什么样了？,7851,5,Fly看世界,7125
96,97,//www.bilibili.com/video/av19772034,【纪录片】一个在中国生活了60多年的意大利“洋农民”徐祥顺,6841,27,藤桥泽雅,7086
97,98,//www.bilibili.com/video/av16225395,【纪录片】亿万富翁的有钱人生【全6P】,4652,59,二渣岛民,7081
98,99,//www.bilibili.com/video/av29180775,原来贝爷吃的这么....我们都被骗了,7691,0,狗子Ate,7061
99,100,//www.bilibili.com/video/av45427659,古希腊酷刑“烤铜牛”到底有多恐怖？,7573,3,趣历史,6975
